                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.1201,                0.70195,                0.99964,                 1.1367,                 0.7295,                0.92308,                0.91287,                0.63048,                 0.7295,                0.92308,                0.91287,                0.70576,                 1.0821,                0.04512,                 1.3513,                 1.3527,              0.0019786,              0.0019786,              0.0019786
                     57,                  1.238,                0.56871,                 1.0862,                 1.2263,                 0.7295,                0.92308,                0.91287,                0.63048,                 0.7295,                0.92308,                0.91287,                0.70576,                 1.0821,                0.04512,                 1.3513,                 1.3527,              0.0019782,              0.0019782,              0.0019782
                     58,                 1.1366,                0.53458,                 0.9075,                 1.0901,                0.88175,                0.76923,                0.91079,                0.72619,                0.88175,                0.76923,                0.91079,                0.75418,                0.92512,                0.05629,                 1.1772,                 1.1175,              0.0019778,              0.0019778,              0.0019778
                     59,                 1.2333,                0.92812,                0.98885,                 1.2688,                0.44539,                0.38462,                0.40045,                0.25616,                0.44539,                0.38462,                0.40045,                0.22652,                 1.3167,                0.03183,                 1.8369,                 1.4025,              0.0019774,              0.0019774,              0.0019774
                     60,                 1.1449,                 0.7302,                 1.0089,                 1.1311,                0.91248,                0.46154,                0.56103,                0.34484,                0.91248,                0.46154,                0.56103,                0.32908,                 1.4241,                0.03651,                 1.9436,                 1.5069,               0.001977,               0.001977,               0.001977
                     61,                 1.4435,                0.57363,                  1.188,                 1.4301,                0.91248,                0.46154,                0.56103,                0.34484,                0.91248,                0.46154,                0.56103,                0.32908,                 1.4241,                0.03651,                 1.9436,                 1.5069,              0.0019766,              0.0019766,              0.0019766
                     62,                  1.312,                 0.5869,                 1.1193,                 1.2326,                0.16309,                0.23077,                0.14279,                0.08045,                0.16309,                0.23077,                0.14279,                0.07863,                 1.6063,                0.02731,                 3.1972,                  1.561,              0.0019762,              0.0019762,              0.0019762
                     63,                 1.2009,                 0.6039,                 1.0822,                 1.1608,                0.61941,                0.30769,                0.34216,                0.20616,                0.61941,                0.30769,                0.34216,                 0.1755,                 1.8373,                0.07712,                 2.4474,                  1.741,              0.0019758,              0.0019758,              0.0019758
                     64,                 1.0929,                0.63301,                0.98774,                 1.1226,                0.48956,                0.29645,                0.24137,                0.14181,                0.48956,                0.29645,                0.24137,                 0.1155,                 2.0191,                0.18483,                 3.1279,                 1.7337,              0.0019754,              0.0019754,              0.0019754
                     65,                 1.0848,                0.58688,                0.96114,                 1.0989,                0.48956,                0.29645,                0.24137,                0.14181,                0.48956,                0.29645,                0.24137,                 0.1155,                 2.0191,                0.18483,                 3.1279,                 1.7337,              0.0019751,              0.0019751,              0.0019751
